,Time,Country,Series,Pay period,Value
265,2014,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.48
266,2015,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.58
267,2016,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.63
268,2017,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.62
269,2018,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.54
270,2019,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.59
271,2020,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.68
272,2021,France,In 2021 constant prices at 2021 USD PPPs,Hourly,12.6
273,2001,United States,In 2021 constant prices at 2021 USD PPPs,Annual,16392.85
274,2002,United States,In 2021 constant prices at 2021 USD PPPs,Annual,16136.92
275,2003,United States,In 2021 constant prices at 2021 USD PPPs,Annual,15778.73
276,2004,United States,In 2021 constant prices at 2021 USD PPPs,Annual,15367.31
277,2005,United States,In 2021 constant prices at 2021 USD PPPs,Annual,14863.04
278,2006,United States,In 2021 constant prices at 2021 USD PPPs,Annual,14398.55
279,2007,United States,In 2021 constant prices at 2021 USD PPPs,Annual,14832.98
280,2008,United States,In 2021 constant prices at 2021 USD PPPs,Annual,16117.04
281,2009,United States,In 2021 constant prices at 2021 USD PPPs,Annual,18013.54
282,2010,United States,In 2021 constant prices at 2021 USD PPPs,Annual,18739.38
283,2011,United States,In 2021 constant prices at 2021 USD PPPs,Annual,18165.91
284,2012,United States,In 2021 constant prices at 2021 USD PPPs,Annual,17797.61
285,2013,United States,In 2021 constant prices at 2021 USD PPPs,Annual,17540.67
286,2014,United States,In 2021 constant prices at 2021 USD PPPs,Annual,17260.67
287,2015,United States,In 2021 constant prices at 2021 USD PPPs,Annual,17240.21
288,2016,United States,In 2021 constant prices at 2021 USD PPPs,Annual,17025.42
289,2017,United States,In 2021 constant prices at 2021 USD PPPs,Annual,16670.33
290,2018,United States,In 2021 constant prices at 2021 USD PPPs,Annual,16272.85
291,2019,United States,In 2021 constant prices at 2021 USD PPPs,Annual,15983.2
292,2020,United States,In 2021 constant prices at 2021 USD PPPs,Annual,15788.44
293,2021,United States,In 2021 constant prices at 2021 USD PPPs,Annual,15080
294,2001,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.04
295,2002,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.13
296,2003,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.18
297,2004,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.19
298,2005,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.24
299,2006,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.26
300,2007,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.32
301,2008,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.37
302,2009,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.59
303,2010,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.74
304,2011,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.9
305,2012,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,6.98
306,2013,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.08
307,2014,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.03
308,2015,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.12
309,2016,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.31
310,2017,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.5
311,2018,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.65
312,2019,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,7.85
313,2020,Japan,In 2021 constant prices at 2021 USD PPPs,Hourly,8.03
314,2001,France,In 2021 constant prices at 2021 USD exchange rates,Annual,18447.32
315,2002,France,In 2021 constant prices at 2021 USD exchange rates,Annual,18680.36
316,2003,France,In 2021 constant prices at 2021 USD exchange rates,Annual,19001.11
317,2004,France,In 2021 constant prices at 2021 USD exchange rates,Annual,19637.58
318,2005,France,In 2021 constant prices at 2021 USD exchange rates,Annual,20396.06
319,2006,France,In 2021 constant prices at 2021 USD exchange rates,Annual,20906.56
320,2007,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21118.24
321,2008,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21159.22
322,2009,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21529.6
323,2010,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21386.37
324,2011,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21360.69
325,2012,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21634.9
326,2013,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21726.11
327,2014,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21845.48
328,2015,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22020.7
329,2016,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22117.64
330,2017,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22095.4
331,2018,France,In 2021 constant prices at 2021 USD exchange rates,Annual,21960.61
332,2019,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22049.66
333,2020,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22207.64
334,2021,France,In 2021 constant prices at 2021 USD exchange rates,Annual,22064.26
335,2001,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.22
336,2002,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.34
337,2003,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.45
338,2004,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.38
339,2005,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.19
340,2006,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.19
341,2007,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.27
342,2008,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.31
343,2009,Netherlands,In 2021 constant prices at 2021 USD exchange rates,Hourly,11.54
